id,name,state,region,primary_tags,secondary_tags,best_months,budget_min_per_day_inr,budget_max_per_day_inr,avg_trip_days,access,highlights,dos,donts
1,Goa,Goa,West,beach|nightlife,water_sports|food,Nov-Feb,5000,12000,4,flight|train|road,Beaches; nightlife; water sports,Book stays early in peak season; rent a scooter,Avoid isolated beaches late night; do not rely on walk-in in peak season
2,Gokarna,Karnataka,South,beach|quiet,trekking|temples,Oct-Mar,2500,6000,3,train|road,Peaceful beaches; short treks; sunsets,Carry cash for small cafes; start hikes early,Do not expect late night nightlife; avoid unsafe cliff edges
3,Varkala,Kerala,South,beach|relaxation,wellness|cliffs,Nov-Mar,3000,7000,3,train|road,Cliff beach views; cafes; yoga,Book cliff stays in advance; try local seafood,Avoid swimming during rough sea warnings; do not overpay for taxis
4,Pondicherry,UT,South,beach|heritage,food|cycling,Oct-Mar,3000,6500,2,train|road,French quarter; cafes; calm beaches,Rent a bicycle; explore early morning,Do not litter in beach zones; avoid peak noon heat
5,Havelock Island,Andaman,Islands,beach|snorkeling,diving|nature,Nov-Apr,7000,14000,4,flight|ferry,Clear waters; coral reefs; beaches,Book ferries and stays early; carry motion sickness meds,Avoid touching corals; do not expect late night transport
6,Alleppey,Kerala,South,backwaters|relaxation,houseboat|food,Oct-Mar,3500,8000,2,train|road,Backwater cruise; village life; local food,Book a houseboat day cruise; carry mosquito repellent,Do not book unknown operators; avoid plastic waste in backwaters
7,Munnar,Kerala,South,mountains|nature,tea|waterfalls,Oct-Mar,3000,7000,3,road,Tea gardens; cool climate; viewpoints,Carry light layers; visit tea estates early,Do not travel on narrow roads at night; avoid littering trails
8,Coorg,Karnataka,South,mountains|nature,coffee|waterfalls,Oct-Mar,3000,7500,3,road,Coffee estates; waterfalls; forest walks,Book homestays early on weekends; try local coffee,Avoid monsoon driving in heavy rain; do not disturb wildlife
9,Ooty,Tamil Nadu,South,mountains|family,tea|gardens,Oct-Jun,3000,7000,3,train|road,Cool weather; botanical gardens; toy train,Book toy train tickets early; carry warm layers,Avoid peak holiday crowds; do not feed monkeys
10,Kodaikanal,Tamil Nadu,South,mountains|nature,lakes|hikes,Oct-Jun,3000,7000,3,road,Star lake; viewpoints; hikes,Start hikes early; pack rain cover,Do not go too close to cliffs in fog; avoid plastic near lake
11,Wayanad,Kerala,South,nature|adventure,waterfalls|wildlife,Oct-May,2500,6500,3,road,Waterfalls; wildlife; caves,Book forest tickets online if possible; carry insect repellent,Do not trek without guide in restricted zones; avoid feeding animals
12,Mahabalipuram,Tamil Nadu,South,heritage|beach,temples|history,Oct-Feb,2500,6000,2,road,Shore temple; rock carvings; beach,Visit monuments early morning; wear sun protection,Avoid midday heat; do not touch carvings
13,Hampi,Karnataka,South,heritage|history,boulders|sunrise,Oct-Feb,2000,4500,3,train|road,Vijayanagara ruins; boulder landscapes; river,Carry cash; rent a bicycle for ruins,Avoid visiting remote spots after dark; do not climb unsafe ruins
14,Jaipur,Rajasthan,North,heritage|culture,food|markets,Oct-Mar,3000,7000,3,flight|train|road,Palaces; forts; bazaars,Buy tickets online for forts; start early to avoid heat,Do not trust unofficial guides; avoid peak afternoon sun
15,Udaipur,Rajasthan,North,heritage|romance,lakes|palaces,Oct-Mar,3500,8000,3,flight|train|road,Lake views; palaces; old city,Take a sunset boat ride; book lake view stays early,Do not overpay for tuk tuk rides; avoid poorly lit alleys late night
16,Jodhpur,Rajasthan,North,heritage|culture,food|forts,Oct-Feb,3000,7000,2,flight|train|road,Mehrangarh fort; blue city; markets,Visit fort early; try local snacks,Do not carry valuables in crowded markets; avoid peak noon heat
17,Jaisalmer,Rajasthan,North,desert|culture,forts|camping,Nov-Feb,3500,8000,3,train|road,Desert safari; fort; sand dunes,Book camp with reviews; carry warm layers for night,Do not expect strong network in dunes; avoid unsafe operators
18,Rann of Kutch,Gujarat,West,desert|festival,crafts|culture,Nov-Feb,3000,7000,2,road,White salt desert; festivals; crafts,Plan around Rann Utsav dates; carry warm layers,Do not drive off marked routes; avoid late night travel in remote areas
19,Rishikesh,Uttarakhand,North,adventure|spiritual,rafting|yoga,Sep-May,2500,6000,3,train|road,River rafting; ashrams; bridges,Book rafting slots early in season; carry dry bags,Do not enter river in off season warnings; avoid loud behavior near ashrams
20,Mussoorie,Uttarakhand,North,mountains|family,views|walks,Oct-Jun,3000,6500,3,road,Cool weather; viewpoints; mall road,Start early to avoid traffic; carry layers,Do not drive at night in fog; avoid peak long weekend crowds
21,Nainital,Uttarakhand,North,lakes|family,boating|walks,Oct-Jun,3000,6500,3,road,Lake views; boating; local markets,Go early for boating; carry light jackets,Do not feed stray animals; avoid weekend traffic hours
22,Shimla,Himachal Pradesh,North,mountains|family,heritage|snow,Dec-Jun,3500,8000,3,train|road,Colonial charm; mall road; views,Take the toy train if time allows; carry warm layers,Do not drive in heavy snow without chains; avoid peak holiday congestion
23,Manali,Himachal Pradesh,North,mountains|adventure,snow|treks,Nov-Jun,3500,9000,4,road,Snow sports; valleys; cafes,Book stay in advance during snow season; carry warm gear,Avoid river activities in monsoon; do not drive to high passes without permits
24,Dharamshala,Himachal Pradesh,North,mountains|culture,monasteries|treks,Mar-Jun|Sep-Nov,3000,7000,3,road,Monasteries; views; cafes,Carry light layers; respect monastery rules,Do not trek without weather check; avoid late night travel on hill roads
25,Kasol,Himachal Pradesh,North,mountains|backpacking,treks|rivers,Mar-Jun|Sep-Nov,2500,6000,3,road,Parvati valley; cafes; short treks,Carry cash; keep pace on treks,Do not leave litter on trails; avoid late night river areas
26,Leh,Ladakh,North,adventure|nature,high_altitude|lakes,Jun-Sep,6000,12000,5,flight|road,High altitude lakes; passes; monasteries,Acclimatize for 2 days; carry sunscreen and hydration,Avoid overexertion early; do not ignore altitude symptoms
27,Spiti Valley,Himachal Pradesh,North,adventure|nature,monasteries|high_altitude,Jun-Sep,5000,10000,5,road,Remote landscapes; monasteries; lakes,Carry cash and essentials; plan for long drives,Avoid traveling at night; do not skip acclimatization
28,Amritsar,Punjab,North,culture|food,history|markets,Oct-Mar,2500,6000,2,train|road,Golden Temple; heritage; food,Visit the temple early morning; try local food,Do not carry large bags into temple; avoid peak rush hours
29,Varanasi,Uttar Pradesh,North,spiritual|culture,ghats|history,Oct-Mar,2500,6000,2,train|road,Ganga ghats; ceremonies; old city,Attend sunrise ghat visit; keep belongings secure,Do not obstruct rituals; avoid late night alley walks
30,Darjeeling,West Bengal,East,mountains|tea,views|heritage,Oct-May,3500,8000,3,train|road,Tea gardens; toy train; views,Book toy train early; carry warm layers,Avoid monsoon landslide routes; do not feed wildlife
31,Gangtok,Sikkim,East,mountains|culture,monasteries|nature,Oct-May,3500,8000,4,road,Monasteries; viewpoints; markets,Plan permits for nearby areas; carry warm layers,Avoid late night travel on hill roads; do not litter
32,Shillong,Meghalaya,East,nature|waterfalls,food|music,Oct-Apr,3000,7000,3,road,Waterfalls; clean air; cafes,Carry rain gear; start early for waterfalls,Do not enter restricted areas; avoid plastic waste near falls
33,Tawang,Arunachal Pradesh,East,mountains|culture,monasteries|snow,Oct-Apr,4000,9000,4,road,Monasteries; high passes; lakes,Carry warm layers; plan permits early,Avoid night drives on mountain roads; do not ignore road closures
34,Ziro,Arunachal Pradesh,East,nature|culture,valleys|music,Sep-Apr,3000,7000,3,road,Valley views; villages; music festival,Carry cash; book stay early for festivals,Do not litter in villages; avoid late night travel
35,Kaziranga,Assam,East,wildlife|nature,safari|birds,Nov-Apr,3000,7000,2,road,One horned rhino; safaris; birds,Book safari slots in advance; carry binoculars,Do not get too close to animals; avoid plastic waste
36,Majuli,Assam,East,culture|river,monasteries|islands,Oct-Mar,2500,6000,2,ferry|road,River island; monasteries; masks,Check ferry timings; stay near ghats,Avoid late ferry crossings; do not disrespect monastery rules
